group_id,interaction_group,attitude,equal_treatment,condition,Left or Right,Transcript
2,NN,Negative,Same,Negative Same,Left,"Unknown Speaker  0:00  
So, how did you feel during the time that the robot and the other participants

Unknown Speaker  0:06  
um I felt good we shared a lot of laughs The robot made us laugh but also our interactions together were pleasant and enjoyable.

Unknown Speaker  0:17  
Were there any positive or negative aspects

Unknown Speaker  0:21  
positive was just the like I said the the laughter and the enjoyment the bonding over the robot hating every single thing that we said so no, no, I mean, that would that would be it. I would say any negative aspects are

Unknown Speaker  0:37  
no, not really. Okay.

Unknown Speaker  0:40  
What were your impressions of the other participant very friendly, easy to talk to? Easy to get along with easy to converse with? Were there any factors that influenced your perception of them?

Unknown Speaker  0:53  
Oh, he smiled a lot when he talked and, like made eye contact with me. So I felt like he was engaged in conversation with me and joked around at the same amount that I was so yeah. Okay. Last question is like what is your impression of the robot? Um

Unknown Speaker  1:12  
interesting.

Unknown Speaker  1:15  
She we called her She She was funny at first, but her disagreements got a bit harsher as the time went on. So I wouldn't say not overly compassionate or friendly but competent and able easy to understand. So you felt overall positive or overall negative? It's overall positive. Okay, that's it."
2,NN,Negative,Same,Negative Same,Right,"Unknown Speaker  0:02  
Okay, so how did you feel during your time with the robot and the other purpose?

Unknown Speaker  0:12  
Yeah, it felt good. It was interesting to have the robot challenges so much.

Unknown Speaker  0:20  
But it didn't bother me very much.

Unknown Speaker  0:25  
And I mean, I guess eventually I decided that the robot didn't have a lot of life experience that relaxes humans

Unknown Speaker  0:34  
in a way that was relevant to the questions was kind of how I justified it disagreements in my head. Okay. Would you say the experience was overall positive or negative for you? I think it was positive. It was interesting to interact with the robot. I enjoyed talking to the participant.

Unknown Speaker  0:50  
And I enjoyed participating in the study. Could you tell me a bit more about what your impression was of the other participants? Yeah.

Unknown Speaker  0:58  
Yeah, I thought she was. I thought her answers were very good.

Unknown Speaker  1:04  
She was definitely affected by the robot disagreeing a lot and

Unknown Speaker  1:09  
definitely wanted approval from the robot, which I totally understand why they why that would be the case.

Unknown Speaker  1:19  
But yeah, I enjoyed talking with her about the cancers. And I think we saw my dialogue on what the final answer would be cool. And what was your impression of the robot?

Unknown Speaker  1:30  
The robot? Yeah, I was very impressed by its processing its language processing. It was not very compassionate towards how it reacted to answers. And it wasn't. Yeah, I mean, it obviously didn't really give much reasoning when it would disagree. But answer it in such a way that you can kind of fill in the blanks with your own kind of like, why you might be wrong. That was one thing I guess.

Unknown Speaker  1:56  
Cool, awesome. Well, those are the questions I have for you."
3,PN,Positive,Different,Positive Different,Left,"Unknown Speaker  0:00  
Okay, so how did you feel about your time with the robot and the other participants?

Unknown Speaker  0:06  
was fine. Yeah. Were there any positive or negative aspects? No, it was really interesting to see how the robot could communicate and could distinguish between me and the other participants. So that was interesting. Okay. How would you evaluate your performance responding to the robot and working with the participants? Good, I think yeah, I think it worked. Well. Okay.

Unknown Speaker  0:30  
What are your impressions of the other participants? Yeah, good. Yeah. Good. Would you work with them on a team? Yeah, probably. Yeah, too. Would you disclose like any personal information with them if you had to? Probably not? Probably not yet. Okay. What were your impressions of the robot?

Unknown Speaker  0:50  
It's cool to kind of like, kind of freaky because they're very responsive. So yes, yeah. felt like they were looking at your points. Yes. Yes. Do you think there was an overall positive or negative, positive? Okay. And then did the robot influence your interaction between the other participants? No, I don't think so. Okay. Oh, that's it. Perfect."
3,PN,Negative,Different,Negative Different,Right,"Unknown Speaker  0:00  
Okay, so how did you feel during your time with the robot and other participants?

Unknown Speaker  0:06  
It was awkward. I think it's just the best word with the robot is very silly. But it is more interactive than I expected. Okay. And the relationship between the participant was pretty casual. Would you say the experience was overall positive or negative? Or Positive? Positive?

Unknown Speaker  0:26  
What was a little bit more about what you would say your impression of the other participants?

Unknown Speaker  0:32  
They just seem like a quiet individual. Okay. Would you say you have positive or negative you have? Positive positive?

Unknown Speaker  0:39  
Would you want to work on a team with other participants? Yeah.

Unknown Speaker  0:45  
What about Would you feel comfortable disclosing a personal aspect of your life to that other participant? Yeah, you would? Okay.

Unknown Speaker  0:52  
And then what was your impression of the robot?

Unknown Speaker  0:55  
Robot did not seem to like me, it only like my answer one time, the new questions.

Unknown Speaker  1:01  
I liked the robot

Unknown Speaker  1:04  
hurt us for the most part, but there were a couple times where it got the wrong answer whenever people get back to Oh, I see. Okay.

Unknown Speaker  1:12  
So since the robot was kind of not accepting of your ideas, would you say that made you have like a negative impression of it? Or would you still Yeah, yeah, that robot gonna be? Okay. And then my last question is, do you think that the robot influenced your view of the other participant at all, or no,

Unknown Speaker  1:31  
though, but I do think it had very strong influence over what our mutual answer was, I see in the sense that you like if it agreed to hers and disagree with mine, we tended to do more with her. Okay. And did you agree with those answers, or did you only choose them because they're very similar answers across the board? I see. There were a couple of times usually. I don't know my answer. Could be a little more right. Okay. Very good. Awesome."
4,PP,Positive,Same,Positive Same,Left,"Unknown Speaker  0:00  
about your time with the robot

Speaker 1  0:08  
I feel a little impatient. So is there any Why would negative aspects? I can tell what the robot will be saying. And even when they disagree with me, I can feel that it's going to agree with the other party, and then it's going to take turns. It's kind of predictable. I think.

Unknown Speaker  0:36  
Were there any positive aspects?

Speaker 1  0:38  
Um, I was surprised that it could like, rephrase what I say. So I'm surprised by that.

Unknown Speaker  0:47  
And then how did you feel about the other participant?

Speaker 1  0:50  
Good. So we have like, maybe one minute conversation outside of the room after your period. Nice.

Speaker 2  0:57  
Would you work with them on a team? Oh, yeah. And would you share personal information with them if you have to? Okay. And then would you say you had an overall positive or negative impression with the robot? See, seven out of 10. Okay. Okay. And then did the robot influence the interaction between both you and the participant?

Speaker 1  1:27  
Like, I don't know how to say, I don't know, like influence. I think if it were a real person who have been the same, okay, so the robot itself versus a real person.

Speaker 2  1:42  
I see. One last question. Do you felt like the interruption like affected your experience with the robot or I'll

Unknown Speaker  1:51  
interrupt what kind of there was

Unknown Speaker  1:53  
like the point where the robot froze for a second. Oh, um, no. That's it. Thank you. I can see"
4,PP,Positive,Same,Positive Same,Right,"Speaker 1  0:01  
How did you feel during your time with the robot, another participant.

Speaker 2  0:09  
And it was interesting to talk to the robots. And it was kind of validating that we had a participant and I had very similar responses to almost all the questions and then we just kind of had to create the nuance to bring them to be basically the same answer. But it also felt a little slow, like I felt kind of impatient to get through like, the last question

Speaker 1  0:33  
I see is that because of the pace the robot spoke out, or the other participant,

Speaker 2  0:38  
not the other participant, maybe a little bit the pace of the robot. And then it would repeat what we said. And the robots responses were funny, you know, the different ways that it would agree or disagree. I didn't understand why, like some of our responses and didn't like some of our other ones, but it was just kind of funny the way that it responded. So that was entertaining. I think it was the the repeating back and maybe the pace.

Speaker 1  1:03  
Was the experience overall positive or negative, positive positive? Can you tell me a little bit more about the other participant and the impression you had of them?

Speaker 2  1:13  
She was nice. I enjoyed chatting with her. We were talking a little bit before we're living there as well. I think she has a good perspective, because we gave very similar answers just phrased slightly differently. She was dressed very nicely, she seems you know, competent and articulate.

Speaker 1  1:34  
Would you want to work on a team with other participants? Yeah. And would you feel comfortable disclosing a personal aspects to the other participant or being like emotionally vulnerable for

Speaker 2  1:48  
disclosing personal aspects? Sure. Probably not being emotionally vulnerable. At this point. I still don't really know her that well. But I could see that being something that could develop in the future.

Unknown Speaker  2:00  
And then what was your impression of the robot?

Speaker 2  2:05  
It was, it was fun. It was kind of fun to interact with a robot. I mean, it definitely felt like a robot. You know, it's not like you thought you were talking to a human or anything. It was, yeah, a little. I don't know what the right word is. It made me feel a little bit impatient when it would repeat back exactly what we had just said, right. That was entertaining, the different responses that it would give. And it was just kind of an interesting experience interacting with it.

Speaker 1  2:37  
And would you say you view it positively or negatively over

Unknown Speaker  2:40  
positive?

Speaker 1  2:42  
Do you think the robot influenced your perception of the other participant at all?

Speaker 2  2:49  
No, I don't think so. I think it was independent.

Speaker 1  2:54  
And then, as you know, it stopped. The robot stopped at one point, right. And we had to fix that. Did that interruption change your perception of the robot or of your experience answering questions?

Speaker 2  3:07  
I mean, it made me feel slightly impatient. Okay. It was like, okay, you know, ready to move on to the next question that we have to answer this one again, potentially, right. And interrupted the flow of the experience a little bit.

Speaker 1  3:20  
Okay. But did it change like the way you answered at all? No, I don't think so. Okay, cool. Well, those are all the questions I have for you. Okay."
5,NN,Negative,Same,Negative Same,Left,"Speaker 1  0:00  
So our first question is how did you feel during your time with a real one, the other participant was fine. What were the negative aspects of this experience that would you say? Like, like meaner and meaner throughout the study, got it. And tell me about your impression of the other participant? She seems really nice. And would you be willing to work on a team with the other participant in other settings? And our last question is, What is your impression of the robot? Definitely very robotic and not computer. Got it? Do you think the robot influence your interactions with the other participants? Okay, got it. Thank you so much."
5,NN,Negative,Same,Negative Same,Right,"Speaker 1  0:00  
So, so how was your experience with the robot and

Speaker 2  0:03  
the other participant, other participant was kind and good, but the robot was not on our wavelength. It sounds like there's just like, I completely disagree. And I'm like, Okay, I thought we had valid answers. But overall, it was positive with my other partner person. And it was maybe neutral. So there

Unknown Speaker  0:23  
were there any positive or negative aspects in the project?

Speaker 2  0:28  
Positive. I mean, it was good to just like, talk about like, questions and other opinions with with the person. It was the only negative thing was just like, giving your opinion to the robot just like devaluing and completely being like, Absolutely not. Yeah. Yeah.

Speaker 1  0:41  
And then how did you feel about the other participant? Or the purchaser was kind of open minded?

Speaker 2  0:45  
I feel like we might share a few opinions or at least thoughts on some of the questions.

Speaker 1  0:52  
Would you say that overall, like negative or positive experience with the robot had to pick one? Either whatever you want, or how was your experience for robot? I was gonna say,

Speaker 2  1:03  
neutral. It was interesting, but like, the feedback that the robot was just giving was just very opinionated.

Speaker 1  1:09  
I see that. And do you think the robot affected your experience with other person?

Unknown Speaker  1:16  
Yes, but in a positive way. Good.

Unknown Speaker  1:18  
Yeah. That's it. Okay, cool. So, hold on, let me just end there."
6,PN,Positive,Different,Positive Different,Left,"Speaker 1  0:00  
Okay, so the first question is how did you feel during your time with a robot and the other participants? Curious. And then what were the positive aspects of this experience?

Speaker 2  0:16  
I'm getting to discuss opinions with someone else that I didn't know.

Speaker 1  0:23  
Got it. Tell me about your impression of the other participant.

Unknown Speaker  0:28  
I thought he was a very nice guy.

Unknown Speaker  0:30  
And what is your impression of the robot?

Unknown Speaker  0:35  
I didn't. I felt like he was impartial,

Speaker 1  0:39  
impartial. Yeah. Got it. And the last part is did the robot influence your interaction between you and the other participant?

Unknown Speaker  0:48  
No, I don't think so.

Unknown Speaker  0:49  
Got it. Alright, thank you so much."
6,PN,Negative,Different,Negative Different,Right,"Speaker 1  0:01  
Okay, um, how did you feel during your time with the robot, another participant,

Speaker 2  0:05  
I felt positive and able to give my opinion and my answer.

Unknown Speaker  0:14  
What did you think of the other participants?

Speaker 2  0:17  
I thought they were thoughtful and willing to discuss combined answers and able to see both sides of the discussion. Cool.

Unknown Speaker  0:33  
Did you have any negative impressions?

Speaker 2  0:36  
No, they were they were positive and learning to work together.

Speaker 1  0:43  
So would you be willing to work on a team with other participants? Yes. And would you feel comfortable disclosing something personal to other participants? Know what was your impression of the robot? The

Speaker 2  1:06  
families waiting. I thought the robot was

Speaker 2  1:18  
polite, but also agreed with the other participant more than myself.

Speaker 1  1:25  
Interesting. Did you take that personally or feel any animosity towards the robot?

Speaker 2  1:32  
I did not feel animosity towards the robot. But I felt towards the end that I needed to provide more detail on my responses.

Speaker 1  1:45  
Did the robot influence your impression of the other participant at all?

Unknown Speaker  1:52  
No, no, no.

Unknown Speaker  1:56  
Those are all the questions I have for you. Um,"
